CO(GT),C6H6(GT),PT08.S2(NMHC),NOx(GT),PT08.S3(NOx),NO2(GT),PT08.S4(NO2),PT08.S5(O3),T,AH,hola1
2,150,11,9,1046,166,1056,113,1692,13,7578
2,88,9,0,939,131,1140,114,1555,11,7502
2,80,9,2,948,172,1092,122,1584,11,7867
1,51,6,5,836,131,1205,116,1490,11,7888
1,38,4,7,750,89,1337,96,1393,11,7848
1,31,3,6,690,62,1462,77,1333,11,7603
0,24,2,3,609,45,1579,60,1276,10,7648
0,19,1,7,561,-200,1705,-200,1235,10,7517
0,8,1,1,512,16,1918,28,1182,11,7366
0,16,1,6,553,34,1738,48,1221,10,7353
1,29,3,2,667,98,1490,82,1339,10,7417
2,87,9,5,960,129,1079,101,1583,10,7691
1,77,6,3,827,112,1218,98,1446,10,7552
1,43,5,0,762,95,1328,92,1362,10,7352
1,61,5,2,774,104,1301,95,1401,9,7951
1,63,7,3,869,146,1162,112,1537,8,8393
2,164,11,5,1034,207,983,128,1730,8,8736
2,79,8,8,933,184,1082,126,1647,8,8778
2,95,8,3,912,193,1103,131,1591,9,8569
2,150,11,2,1020,243,1008,135,1719,9,8185
4,307,20,8,1319,281,799,151,2083,10,8065
6,461,27,4,1488,383,702,172,2333,9,8319
6,401,24,0,1404,351,743,165,2191,9,8133
3,197,12,8,1076,240,957,136,1707,9,7419
1,61,4,7,749,94,1325,85,1333,8,6905
1,2,6,629,47,1565,53,1252,552,2,6438
1,55,5,9,805,122,1254,97,1375,8,6308
1,53,6,4,829,133,1247,110,1378,7,6276
1,40,4,1,718,82,1396,91,1304,7,6261
0,21,1,9,574,-200,1680,-200,1187,7,6233
-200,1,1,506,21,1893,32,1134,384,1,6234
0,7,1,0,501,30,1895,44,1155,6,6316
0,17,1,8,571,56,1685,71,1223,6,6499
1,33,4,4,730,109,1387,104,1361,6,6320
4,202,17,9,1236,307,897,141,1900,7,6243
-200,22,1,1353,-200,767,-200,2058,1588,2,6195
3,208,14,0,1118,187,912,122,1712,13,6262
2,166,11,6,1037,216,969,143,1598,14,6560
2,114,10,2,986,143,1035,113,1537,15,6610
2,140,11,0,1016,160,1008,116,1593,16,6657
2,169,12,8,1078,163,949,123,1660,16,6549
2,185,14,2,1122,190,922,126,1740,15,6766
2,165,12,7,1073,178,954,120,1657,15,7084
2,133,11,7,1041,150,1006,119,1610,16,7478
3,233,19,3,1277,206,812,149,1910,15,7536
3,242,18,2,1246,202,821,145,1847,14,7740
6,488,32,6,1610,340,624,170,2390,12,7771
4,333,20,1,1299,274,752,149,1941,12,7597
3,215,14,3,1127,253,839,139,1723,11,7423
5,367,21,8,1346,300,741,134,2062,9,7256
2,122,9,6,964,193,963,113,1544,9,7173
1,46,5,4,783,-200,1179,-200,1380,7,6887
-200,6,2,821,109,1132,83,1412,992,0,6932
1,2,6,625,62,1420,65,1274,819,3,6945
1,27,2,9,646,53,1406,60,1268,7,7124
1,47,5,1,770,139,1228,77,1409,6,7335
2,132,11,8,1043,256,935,96,1678,6,7451
3,239,15,1,1153,295,830,119,1777,9,7090
3,160,12,9,1081,250,869,126,1667,12,6950
2,154,12,3,1059,153,987,124,1600,19,7012
2,8,6,924,118,1088,102,1488,850,0,7117
2,9,2,947,119,1049,116,1532,947,4,7451
2,111,10,2,987,138,1004,124,1554,17,7569
2,97,10,6,1000,148,976,125,1602,16,7786
3,191,15,5,1163,227,831,148,1779,16,8091
4,258,19,6,1286,277,758,165,1922,15,8060
4,284,19,2,1274,279,754,161,1915,15,8193
4,269,18,3,1247,283,762,159,1860,15,8498
3,180,13,1,1089,214,844,143,1748,14,8536
2,116,10,9,1010,172,892,130,1603,14,8537
2,93,11,0,1013,190,889,129,1611,13,8674
2,92,8,6,925,128,953,104,1543,12,8533
-200,5,2,773,70,1130,82,1452,1051,1,8530
1,32,3,7,691,53,1272,70,1377,11,8530
1,2,5,618,44,1395,63,1333,872,6,8627
0,27,2,4,615,74,1384,67,1340,10,8728
1,36,4,2,722,101,1225,84,1414,11,8789
1,57,6,4,828,118,1055,83,1527,12,8474
2,148,10,9,1009,176,878,114,1696,16,7616
2,145,10,7,1002,161,907,119,1677,19,7525
